Source;Target;Label;Type
121;2369;Shannyn Sossamon;Undirected
1008;1320;Rob Schneider;Undirected
1008;706;Rob Schneider;Undirected
1320;706;Rob Schneider;Undirected
1008;1085;Adam Sandler;Undirected
1008;1749;Adam Sandler;Undirected
1008;1910;Adam Sandler;Undirected
1008;2159;Adam Sandler;Undirected
1008;953;Adam Sandler;Undirected
1085;1749;Adam Sandler;Undirected
1085;1910;Adam Sandler;Undirected
1085;2159;Adam Sandler;Undirected
1085;953;Adam Sandler;Undirected
1749;1910;Adam Sandler;Undirected
1749;2159;Adam Sandler;Undirected
1749;953;Adam Sandler;Undirected
1910;2159;Adam Sandler;Undirected
1910;953;Adam Sandler;Undirected
2159;953;Adam Sandler;Undirected
1008;953;Allen Covert;Undirected
1008;1013;Joey Lauren Adams;Undirected
1008;1234;Joey Lauren Adams;Undirected
1013;1234;Joey Lauren Adams;Undirected
1008;899;Leslie Mann;Undirected
1008;2405;Jon Stewart;Undirected
101;109;Olivia de Havilland;Undirected
101;2292;Olivia de Havilland;Undirected
101;270;Olivia de Havilland;Undirected
101;493;Olivia de Havilland;Undirected
109;2292;Olivia de Havilland;Undirected
109;270;Olivia de Havilland;Undirected
109;493;Olivia de Havilland;Undirected
2292;270;Olivia de Havilland;Undirected
2292;493;Olivia de Havilland;Undirected
270;493;Olivia de Havilland;Undirected
101;109;Errol Flynn;Undirected
101;1630;Errol Flynn;Undirected
101;1681;Errol Flynn;Undirected
101;270;Errol Flynn;Undirected
109;1630;Errol Flynn;Undirected
109;1681;Errol Flynn;Undirected
109;270;Errol Flynn;Undirected
1630;1681;Errol Flynn;Undirected
1630;270;Errol Flynn;Undirected
1681;270;Errol Flynn;Undirected
101;104;Basil Rathbone;Undirected
101;109;Basil Rathbone;Undirected
101;1866;Basil Rathbone;Undirected
104;109;Basil Rathbone;Undirected
104;1866;Basil Rathbone;Undirected
109;1866;Basil Rathbone;Undirected
1010;2555;Jim Brown;Undirected
1010;933;Jim Brown;Undirected
2555;933;Jim Brown;Undirected
1010;1019;Ernest Borgnine;Undirected
1010;2413;Ernest Borgnine;Undirected
1010;2522;Ernest Borgnine;Undirected
1019;2413;Ernest Borgnine;Undirected
1019;2522;Ernest Borgnine;Undirected
2413;2522;Ernest Borgnine;Undirected
1010;1192;Patrick McGoohan;Undirected
1010;2119;Rock Hudson;Undirected
1010;276;Rock Hudson;Undirected
1010;521;Rock Hudson;Undirected
2119;276;Rock Hudson;Undirected
2119;521;Rock Hudson;Undirected
276;521;Rock Hudson;Undirected
1011;1053;Gwyneth Paltrow;Undirected
1011;1073;Gwyneth Paltrow;Undirected
1011;1184;Gwyneth Paltrow;Undirected
1011;1693;Gwyneth Paltrow;Undirected
1011;366;Gwyneth Paltrow;Undirected
1011;905;Gwyneth Paltrow;Undirected
1053;1073;Gwyneth Paltrow;Undirected
1053;1184;Gwyneth Paltrow;Undirected
1053;1693;Gwyneth Paltrow;Undirected
1053;366;Gwyneth Paltrow;Undirected
1053;905;Gwyneth Paltrow;Undirected
1073;1184;Gwyneth Paltrow;Undirected
1073;1693;Gwyneth Paltrow;Undirected
1073;366;Gwyneth Paltrow;Undirected
1073;905;Gwyneth Paltrow;Undirected
1184;1693;Gwyneth Paltrow;Undirected
1184;366;Gwyneth Paltrow;Undirected
1184;905;Gwyneth Paltrow;Undirected
1693;366;Gwyneth Paltrow;Undirected
1693;905;Gwyneth Paltrow;Undirected
366;905;Gwyneth Paltrow;Undirected
1011;1425;Jared Harris;Undirected
1011;2027;Jared Harris;Undirected
1425;2027;Jared Harris;Undirected
1011;1615;Daniel Craig;Undirected
1011;1807;Daniel Craig;Undirected
1011;1932;Daniel Craig;Undirected
1011;2274;Daniel Craig;Undirected
1011;341;Daniel Craig;Undirected
1011;64;Daniel Craig;Undirected
1011;694;Daniel Craig;Undirected
1615;1807;Daniel Craig;Undirected
1615;1932;Daniel Craig;Undirected
1615;2274;Daniel Craig;Undirected
1615;341;Daniel Craig;Undirected
1615;64;Daniel Craig;Undirected
1615;694;Daniel Craig;Undirected
1807;1932;Daniel Craig;Undirected
1807;2274;Daniel Craig;Undirected
1807;341;Daniel Craig;Undirected
1807;64;Daniel Craig;Undirected
1807;694;Daniel Craig;Undirected
1932;2274;Daniel Craig;Undirected
1932;341;Daniel Craig;Undirected
1932;64;Daniel Craig;Undirected
1932;694;Daniel Craig;Undirected
2274;341;Daniel Craig;Undirected
2274;64;Daniel Craig;Undirected
2274;694;Daniel Craig;Undirected
341;64;Daniel Craig;Undirected
341;694;Daniel Craig;Undirected
64;694;Daniel Craig;Undirected
1011;1238;Michael Gambon;Undirected
1011;1239;Michael Gambon;Undirected
1011;1246;Michael Gambon;Undirected
1011;1501;Michael Gambon;Undirected
1011;1807;Michael Gambon;Undirected
1011;343;Michael Gambon;Undirected
1011;80;Michael Gambon;Undirected
1011;999;Michael Gambon;Undirected
1238;1239;Michael Gambon;Undirected
1238;1246;Michael Gambon;Undirected
1238;1501;Michael Gambon;Undirected
1238;1807;Michael Gambon;Undirected
1238;343;Michael Gambon;Undirected
1238;80;Michael Gambon;Undirected
1238;999;Michael Gambon;Undirected
1239;1246;Michael Gambon;Undirected
1239;1501;Michael Gambon;Undirected
1239;1807;Michael Gambon;Undirected
1239;343;Michael Gambon;Undirected
1239;80;Michael Gambon;Undirected
1239;999;Michael Gambon;Undirected
1246;1501;Michael Gambon;Undirected
1246;1807;Michael Gambon;Undirected
1246;343;Michael Gambon;Undirected
1246;80;Michael Gambon;Undirected
1246;999;Michael Gambon;Undirected
1501;1807;Michael Gambon;Undirected
1501;343;Michael Gambon;Undirected
1501;80;Michael Gambon;Undirected
1501;999;Michael Gambon;Undirected
1807;343;Michael Gambon;Undirected
1807;80;Michael Gambon;Undirected
1807;999;Michael Gambon;Undirected
343;80;Michael Gambon;Undirected
343;999;Michael Gambon;Undirected
80;999;Michael Gambon;Undirected
1011;1395;Blythe Danner;Undirected
1011;1521;Blythe Danner;Undirected
1011;1617;Blythe Danner;Undirected
1011;1859;Blythe Danner;Undirected
1011;968;Blythe Danner;Undirected
1395;1521;Blythe Danner;Undirected
1395;1617;Blythe Danner;Undirected
1395;1859;Blythe Danner;Undirected
1395;968;Blythe Danner;Undirected
1521;1617;Blythe Danner;Undirected
1521;1859;Blythe Danner;Undirected
1521;968;Blythe Danner;Undirected
1617;1859;Blythe Danner;Undirected
1617;968;Blythe Danner;Undirected
1859;968;Blythe Danner;Undirected
1013;2197;Marissa Ribisi;Undirected
1013;1140;Nicky Katt;Undirected
1013;1306;Nicky Katt;Undirected
1013;1465;Nicky Katt;Undirected
1013;1709;Nicky Katt;Undirected
1013;2002;Nicky Katt;Undirected
1013;2227;Nicky Katt;Undirected
1140;1306;Nicky Katt;Undirected
1140;1465;Nicky Katt;Undirected
1140;1709;Nicky Katt;Undirected
1140;2002;Nicky Katt;Undirected
1140;2227;Nicky Katt;Undirected
1306;1465;Nicky Katt;Undirected
1306;1709;Nicky Katt;Undirected
1306;2002;Nicky Katt;Undirected
1306;2227;Nicky Katt;Undirected
1465;1709;Nicky Katt;Undirected
1465;2002;Nicky Katt;Undirected
1465;2227;Nicky Katt;Undirected
1709;2002;Nicky Katt;Undirected
1709;2227;Nicky Katt;Undirected
2002;2227;Nicky Katt;Undirected
1013;1783;Matthew McConaughey;Undirected
1013;1905;Matthew McConaughey;Undirected
1013;2505;Matthew McConaughey;Undirected
