id;Label;
29987;Lionel Barrymore;
29988;Errol Flynn;
29989;Boris Karloff;
2999;Andrew Miller;
29990;Jennifer Jones;
29992;Steven Seagal;
29993;Morris Chestnut;
29996;Jessica Lange;
29997;Paul Scofield;
29998;Isabella Rossellini;
29999;John Barrymore;
3;Davy Jones;
3000;Grace Lynn Kung;
30000;Martin Sheen;
30003;Jack Albertson;
30004;Faye Dunaway;
30005;Susan Sarandon;
30006;Basil Rathbone;
30008;Tony Curtis;
30009;Jamie Lee Curtis;
30010;Leo McKern;
30011;Michael J. Fox;
30012;Justin Timberlake;
30013;Scatman Crothers;
30014;Ben Johnson;
30015;Frankie Howerd;
30016;Esai Morales;
30017;Kirk Douglas;
30018;Alicia Silverstone;
30022;Yves Montand;
30024;Patrick Stewart;
30025;Art Garfunkel;
30026;Tim Blake Nelson;
30028;Johnny Depp;
30030;Zhang Ziyi;
30033;Christopher Reeve;
30038;James Mason;
30039;Michael Moore;
30042;Ricardo MontalbÃ¡n;
30046;Ewan McGregor;
30047;Rose Hobart;
30048;DeForest Kelley;
30049;Max von Sydow;
30050;Roscoe Arbuckle;
30053;Natalie Wood;
30054;Gregory Peck;
30057;James Doohan;
30058;Julie Elizabeth Andrews;
30059;Michael Douglas;
30060;Uma Thurman;
30061;Harvey Keitel;
30063;Eric Sykes;
30064;Richard Attenborough;
30068;Robert McNamara;
30071;Helena Bonham Carter;
30075;June Whitfield;
30076;Kate Mulgrew;
30081;Jack Benny;
30082;Maggie Smith;
30085;George C. Scott;
30086;Neve Campbell;
30088;Jessica Tandy;
30089;Oliver Hardy;
30090;Neville Brand;
30092;Hilary Duff;
30093;Jean Seberg;
30095;Annabel Chong;
30096;Nick Nolte;
30097;Robert Donat;
30098;Molly Ringwald;
30099;Judi Dench;
301;Tommy 'Tiny' Lister;
30103;Jim Carrey;
30105;Fred MacMurray;
30107;LeVar Burton;
30109;Wil Wheaton;
30110;Leleti Khumalo;
30113;Robert Mitchum;
30114;Mickey Rooney;
30117;Claudia Schiffer;
30119;Joseph Fiennes;
30120;Jonathan Frakes;
30121;Wendy Hiller;
30123;Sarah Jessica Parker;
30124;Sandra Bernhard;
30126;Olivia de Havilland;
30128;Roger Vadim;
30130;Jean-Claude Van Damme;
30131;Chow Yun-Fat;
30134;Joanna Lumley;
30137;Kerri Green;
30138;Martha Plimpton;
30143;Loretta Swit;
30145;Gary Burghoff;
30148;Ben Stiller;
30149;Corey Feldman;
30150;John Candy;
30153;Debi Mazar;
30154;Gilda Radner;
30157;Charles Aznavour;
30158;Quentin Crisp;
30161;Hilary Swank;
30162;Paul McGann;
30164;Robert Crumb;
30166;Reese Witherspoon;
30167;Nigel Hawthorne;
30168;Richard Branson;
30169;Gates McFadden;
30170;Brent Spiner;
30171;Leslie Phillips;
30172;Richard Greene;
30174;Tori Spelling;
30176;Jamie Lynn Spears;
30181;John Ratzenberger;
30185;Charles Boyer;
30186;Rex Harrison;
30187;Jimmy Durante;
30191;Michael McKean;
30192;David Lander;
30193;Chris Elliott;
30196;Clarence Nash;
30198;Saranya;
30200;Bobby Darin;
30204;Ethel Merman;
30205;Robert Plant;
30207;Denzel Washington;
30208;Paul Shaffer;
30209;Phil Hartman;
30211;Carl Reiner;
30214;Liev Schreiber;
30215;Kenneth Branagh;
30216;Mira Furlan;
30221;Julia Louis-Dreyfus;
30222;Dana Carvey;
30224;Adam Sandler;
30225;Don Novello;
