Id;Label
1760;AI
1761;Out of the Blue
1762;White Fang
1763;First Daughter
1764;Baseball
1765;The Final Cut
1766;The House of the Spirits
1767;The Immoral Mr. Teas
1768;Angel's Egg
1769;Fat Pizza: The Movie
177;Jam Session
1770;Winchester '73
1771;Saw
1772;Once Upon a Crime...
1773;Elizabeth: The Golden Age
1774;I Yabba-Dabba Do!
1775;Devil's Playground
1776;Flash Gordon's Trip to Mars
1777;God's Army
1778;Meteor
1779;City Hall
178;Jammin' the Blues
1780;Bushido Blade
1781;Flesh & Blood
1782;[[Russian language|Russian]]
1783;My Boyfriend's Back
1784;Laughing Gas
1785;Rabbit Test
1786;Beowulf
1787;Resident Evil
1788;U.F.O.
1789;FahrenHYPE 9/11
179;Jaws
1790;KanaÅ
1791;The Hand That Rocks the Cradle
1792;Big Momma's House
1793;Amerika
1794;Ned Kelly
1795;My Dog Skip
1796;Black Sheep
1797;Blank Check
1798;Cecil B. Demented
1799;Heavy Weights
18;King Kong
180;Jazz on a Summer's Day
1800;Rikishi
1801;Stalingrad
1802;Batman Beyond: Return of the Joker
1803;Madhouse
1804;Cellular
1805;I â¥ Huckabees
1806;Abraham Lincoln
1807;Layer Cake
1808;Ocean's Twelve
1809;Dracula
181;King: a Filmed Record...Montgomery To Memphis
1810;Speed 2: Cruise Control
1811;Hot Shots!
1812;Dracula
1813;Black Sun
1814;MÃ¤nner wie wir
1815;Rollerball
1816;Rollerball
1817;She's All That
1818;Clean
1819;PokÃ©mon: Destiny Deoxys
182;The Last of the Mohicans
1820;Paper Moon
1821;History Is Made at Night
1822;Primal Fear
1823;Mike Bassett: England Manager
1824;Kurt & Courtney
1825;Cat People
1826;Bombay
1827;Gidget
1828;Bells Are Ringing
1829;Everyman's Feast
183;Laura
1830;Anna Karenina
1831;Good Morning
1832;Monsignor
1833;Deathtrap
1834;Morgan Stewart's Coming Home
1835;Rebirth of Fusion!! GokÅ« and Vegeta!!
1836;Woodstock
1837;Metroland
1838;Amadeus
1839;The Skulls
184;Let's All Go to the Lobby
1840;Je t'aime John Wayne
1841;P.S.
1842;The Island
1843;Mishima: A Life in Four Chapters
1844;Dead Zone
1845;Tales from the Crypt
1846;Shall We Dance?
1847;Radio Flyer
1848;Something Wild
1849;Scooby-Doo
185;The Life and Death of 9413: a Hollywood Extra
1850;Making Mr. Right
1851;Soul Food
1852;Phoenix
1853;L'Atlantide
1854;Oliver's Story
1855;The Three Marias
1856;Airport '77
1857;Mobile Suit Gundam SEED: Special Edition
1858;The Story of G.I. Joe
1859;The X Files
186;The Life and Time of Rosie the Riveter
1860;Once a Thief
1861;Samsara
1863;Don't Hang Up, Tough Guy!
1864;DÃ¼nyayÄ± Kurtaran Adam
1865;Quill
1866;The Mark of Zorro
1867;The Mark of Zorro
1868;The Draughtsman's Contract
1869;Turkish Delight
187;Manhattan
1870;Robin Hood
1871;SuperBabies: Baby Geniuses 2
1872;Revenge of the Nerds III: The Next Generation
1873;Revenge of the Nerds IV: Nerds in Love
1874;Scrooge
1875;Knots Landing: Back to the Cul-de-Sac
1876;Atlantis
1877;Atlantis: Milo's Return
1878;The Guru
1879;Alfie
188;March of Time: Inside Nazi Germany--1938
1880;Go
1881;I Confess
1882;Mr. Mike's Mondo Video
1883;The Rutles
1884;Bongwater
1885;Asoka
1886;Carrington V.C.
1887;Ring 0: Birthday
1888;Kung Pow! Enter the Fist
1889;Idiot's Delight
189;Marian Anderson: the Lincoln Memorial Concert
1890;The Last Command
1891;Let's Rock
1892;Don't Knock the Rock
1893;Enigma
1894;Killer's Kiss
1895;Brainstorm
1896;Marie Antoinette
1897;Birth
1898;Silsila
1899;Geronimo's Last Raid
19;LÃ©on
190;The Miracle of Morgan's Creek
1900;Kinsey
1901;Cliff 'em All
1902;Micki + Maude
1903;Police Academy 2: Their First Assignment
1904;Tanner '88
1905;Lone Star
1906;Augustin, King of Kung-Fu
1907;Contempt
1908;CÃ©line et Julie vont En Bateau
1909;Bedazzled
191;Modern Times
1910;Bulletproof
1911;Blackrock
1912;L'Amour fou
1913;Georgia
1914;The Grave
1915;Ãyle Bir KadÄ±n Ki
1916;Timeline
1917;Planet of the Apes
1919;Gold Diggers of '49
192;Morocco
1920;Bagdad
1921;Shock
1922;National Lampoon's Christmas Vacation
1923;Mr. Majestyk
1924;Unfaithful
1925;National Lampoon's Van Wilder
1926;Dragonfly
1927;What a Girl Wants
1928;Goodbye, Mr. Chips
1929;[[Japanese language|Japanese]]
193;Motion Painting No. 1
1930;The Great Escape II: The Untold Story
1931;A Sound of Thunder
1932;The Mother
1933;Paparazzi
1934;Willard
1935;Crossroads
1936;Thirteen Days
1937;Blade: Trinity
1938;Daredevil
1939;The Messenger: The Story of Joan of Arc
194;Suspicion
1940;Elektra
1941;Caravaggio
1942;Dead End
1943;It's a Very Merry Muppet Christmas Movie
1944;Around the World in Eighty Days
1945;Concrete
1947;The Misfits
1948;Some Kind of Monster
1949;Primer
195;Nashville
1950;Don't Let It Get You
1951;The Blue Lagoon
1952;The Secret Garden
1953;Pizza
1954;Yu Yu Hakusho: Poltergeist Report
1955;Alexander
1956;True Stories
1957;Come and Get It
1958;O
196;National Lampoon's Animal House
1960;Bonjour tristesse
1961;Henry: Portrait Of A Serial Killer
1962;The Green Berets
1963;Delgo
1964;Submission
1965;Me, Myself & Irene
1966;Industrial Symphony No. 1
1967;I'm A Juvenile Delinquent - Jail Me!
1968;Calamity Jane
1969;Ilsa: She-Wolf of the SS
197;A Night at the Opera
1970;Forbidden Forest
1971;Diner
1972;Fallen
1973;Antitrust
1974;Troll Bridge
1975;3: The Dale Earnhardt Story
1976;Tierra
1977;Universe
1978;Bridget Jones: The Edge of Reason
1979;Jud SÃ¼Ã
198;The Night of the Hunter
1980;King of the Hill
1981;Conspiracy
1982;What's Up, Doc?
1983;Pettin' in the Park
1984;Jackass: The Movie
