John Rhys-Davies,1093,1241,1341,2072,2449,2504,463,464,465;
Jack Johnson,1094;
Heather Graham,1094,165,1693,1878,2085,2105,2405,618,779,953;
June Lockhart,1094;
Edward Fox,1094,1593,611,810;
Mimi Rogers,1094,367;
Gary Oldman,1094,1175,1191,1235,1238,1239,1246,1698,19,45,602,771,885;
Lacey Chabert,1094,1588;
Matt LeBlanc,1094,1593,650;
Pat Boone,1096;
James Mason,1096,2194,2230,224,2471,303,353,827;
Arlene Dahl,1096;
Peter Ronson,1096;
Diane Baker,1096,621,660;
Thayer David,1096;
Georges Wilson,1097;
Bernard Blier,1097;
Marcello Mastroianni,1097,751;
Anna Karina,1097,354;
Raquel Castro,1098;
Jason Biggs,1098;
Liv Tyler,1098,1257,1635,302,463,464,465,74;
George Carlin,1098,1600,2036,285,390,648;
Harley Quinn Smith,1098;
Jennifer Lopez,1098,1280,1305,1846,2323,671;
Julie Cox,1099,2430;
Saskia Reeves,1099;
Barbora KodetovÃ¡,1099,2430;
Alec Newman,1099,2430;
Chotaro Togin,11;
Akihiko Hirata,11,12;
Toru Ibuki,11;
Jun Tazaki,11;
Hideo Sunazuka,11;
Eisei Amamoto,11;
Ikio Sawamura,11;
Akira Takarada,11,12,2208;
Toru Watanabe,11;
Pair Bambi,11;
Kumi Mizuno,11;
Alice Faye,110;
Jean Hersholt,110,169,58;
Tyrone Power,110,1866,1896,2291,236,873;
Don Ameche,110,1620,1621,2066,242;
Ethel Merman,110,233,62;
Rocco Siffredi,1100;
Caroline Ducey,1100;
FranÃ§ois BerlÃ©and,1100;
 the Three-Headed Monster,1101;
Hiroshi Koizumi,1101;
Katsumi Tezuka,1101,12;
Kenji Sahara,1101,2208;
Akiko Wakabayashi,1101;
Yuriko Hoshi,1101;
Shoichi Hirose,1101;
Yosuke Natsuki,1101;
Haruo Nakajima,1101,12;
Frankie Faison,1103,1141,1175,1296,1825;
Regina King,1103,1265,1725,438,913;
Wanda Sykes,1103;
Chazz Palminteri,1103,691;
Chris Rock,1103,1382,2555,285,334,722;
Jennifer Coolidge,1103,1549,2053,2094,913;
Eugene Levy,1103,1347,1415,1487,2108,2452,380,775;
Kitty Winn,1105,1331;
Linda Blair,1105,1331,320;
Paul Henreid,1105,1928,482,81;
Max von Sydow,1105,1272,1331,143,2179,333;
Richard Burton,1105,1523,2145,2237,2292;
John Boorman,1105;
James Earl Jones,1105,1549,1729,1780,2132,575,68,728,75,76,8,989;
Louise Fletcher,1105,1895;
Danny Mann,1107,2470,337;
Mary Stein,1107;
Magda Szubanski,1107,337;
Steven Wright,1107;
Elizabeth Daily,1107,1588,2497,801,887;
John Kapelos,1108;
Daryl Hannah,1108,2060,2093,2435,716,775,84;
Shelley Duvall,1108,195,2014,2234,2485;
Rick Rossovich,1108,479;
Steve Martin,1108,1398,1492,1571,2331,305,910,935;
Mandy Patinkin,1109,36,948;
Peter Jason,1109;
Francis X. McCarthy,1109,305;
Jeff Kober,1109;
Tony Perez,1109;
Terence Stamp,1109,1940,2408,2476,69,802,832,84,984;
Kevyn Major Howard,1109;
Brian Thompson,1109,2029,461,988;
Leslie Bevis,1109;
Conrad Dunn,1109;
Tony Simotes,1109;
Roger Aaron Brown,1109;
Pierre Fresnay,111;
Jean Gabin,111;
Erich von Stroheim,111,222;
Marcel Dalio,111,521;
Dita Parlo,111;
Ted Danson,1110;
Isabella Rossellini,1110,1159,2214,630,885,9;
Lloyd Bridges,1110,1611,1811,2288,2307,2382,62;
William Petersen,1110,1131,1141,1191,1839,2221;
Danielle Harris,1111,1587,1626;
Christina Applegate,1111,1318,2085;
Josh Charles,1111,1408,1914;
Michael Kopelow,1111,985;
John Getz,1111,936;
Keith Coogan,1111;
Joanna Cassidy,1111,1676;
Helen Hunt,1112,1257,2102,2308,719;
Haley Joel Osment,1112,334;
Jay Mohr,1112,1119,2358;
Jon Bon Jovi,1112,38;
Kevin Spacey,1112,1178,1343,1622,54,943;
Angie Dickinson,1112,2278,2298,2428,259,377;
Paul Giamatti,1113,1549,1792,1917;
Jeremy Piven,1113,1321,1450,1600,1689,2452,2513;
Kyra Sedgwick,1113,1376,1395,974;
James LeGros,1113,1276,985;
Bill Pullman,1113,1126,1295,1821,2445,2553,73;
Bridget Fonda,1113,1126,1354,1779,2470,329,543,837;
Campbell Scott,1113,1693;
Sheila Kelley,1113;
Matt Dillon,1113,1359,2528,422,677;
Dana Eskelson,1113,2171;
Jim True-Frost,1113;
Alok Nath,1114,810;
Simone Singh,1114;
Farida Jalal,1114,670;
Hrithik Roshan,1114,2215;
Kajol,1114,670;
Himani Shivpuri,1114,2215,670;
Rani Mukerji,1114,2215,2552;
Sushma Seth,1114;
Kareena Kapoor,1114,1885,2215,878;
Amitabh Bachchan,1114,1898;
Shahrukh Khan,1114,1885,670;
Johnny Lever,1114;
Jaya Bachchan,1114,1898;
Julia Nickson-Soul,1115;
Charles Napier,1115,1646,1848;
Steven Berkoff,1115,1448,2430;
Richard Crenna,1115,2278,2382,284;
Nigel Bruce,1116,194;
Norman Lloyd,1116,2556;
Charlie Chaplin,1116,191,2255,346,600;
Buster Keaton,1116,1118,137,150,216,233,370;
Sydney Chaplin,1116;
Oona O'Neill,1116;
Geraldine Chaplin,1116,195,446;
Snub Pollard,1116;
Michael Chaplin,1116;
Claire Bloom,1116,1587,1654,2251;
Sydney Earle Chaplin,1116;
Tom McGuire,1118;
Taye Diggs,1119,1644,2347,2486,529,593;
Desmond Askew,1119;
Scott Wolf,1119,691;
Timothy Olyphant,1119,1536,2053,2514;
Katie Holmes,1119,1406,1407,1504,1763,2201;
Breckin Meyer,1119,1129,1254,1271,1988,2528,785;
Clark Gable,112,1889,1947,2295,55;
Spencer Tracy,112,132,1357,142,163,174,2287,233,2384,2450,257,499,55;
Myrna Loy,112,1714,96;
Ali MacGraw,1120;
Steve McQueen,1120,1518,284;
